# Hatalı Linkler Listesi Veri Seti (Ders Adı | Hafta | Konu/Bağlam | Link)

    "BMB210 Elektroniğe Giriş|6. Hafta|JFET (Eklem Alan Etkili Transistörler)|https://www.allaboutcircuits.com/textbook/semiconductors/chpt-5/junction-field-effect-transistors-jfet/"
    "BMB210 Elektroniğe Giriş|8. Hafta|İşlemsel Yükselteç (Op-Amp) Uygulamaları|https://www.robotiksistem.com/islemsel_yukseltec_opamp_nedir.html"
    "BMB210 Elektroniğe Giriş|9. Hafta|Güç Yükselteçleri (Power Amplifiers)|https://eshop.se.com/in/blog/post/understanding-the-difference-between-voltage-amplifier-and-power-amplifier.html"
    "BMB210 Elektroniğe Giriş|13. Hafta|Özel Amaçlı Diyotlar|https://www.allaboutcircuits.com/textbook/semiconductors/chpt-3/special-purpose-diodes/"
    "BMB210 Elektroniğe Giriş|14. Hafta|Tristörler (Thyristors)|https://maker.robotistan.com/tristor-nedir-cesitleri/"
    "LMİ103 Mesleki İngilizce I|3. Hafta|Conjunctions (Bağlaçlar)|https://www.openenglish.com.tr/blog/ingilizce-baglaclar-conjunctions-listesi/"
    "LMİ103 Mesleki İngilizce I|11. Hafta|Passive Voice (Edilgen Yapı)|https://dersimizingilizce.com/ingilizce-passive-voice-ingilizce-edilgen-yapi.html"
    "LMİ103 Mesleki İngilizce I|12. Hafta|Imperatives (Emir Kipleri)|https://dersimizingilizce.com/ingilizce-imperatives-ingilizce-emir-cumleleri.html"
    "BMB206 Olasılık ve İstatistik|2. Hafta|İstatistikte Veri Görselleştirme|https://www.tableau.com/visualization/what-is-data-visualization/"
    "BMB206 Olasılık ve İstatistik|3. Hafta|Merkezi Eğilim Ölçüleri|https://www.veribilimiokulu.com/merkezi-egilim-olculeri/"
    "BMB206 Olasılık ve İstatistik|4. Hafta|Olasılığa Giriş|https://www.scribd.com/document/810309658/Olas%C4%B1l%C4%B1g-a-Giris-Kavram-Tan%C4%B1m-Uygulama"
    "BMB206 Olasılık ve İstatistik|6. Hafta|Kesikli Olasılık Dağılımları|https://acikders.ankara.edu.tr/pluginfile.php/130862/mod_resource/content/0/akt102_hafta_05.pdf"
    "BMB206 Olasılık ve İstatistik|7. Hafta|Sürekli Olasılık Dağılımları|https://acikders.ankara.edu.tr/pluginfile.php/116949/mod_resource/content/1/6-Surekli%20Olasilik%20Dagilimi.pdf"
    "BMB206 Olasılık ve İstatistik|9. Hafta|Örnekleme Dağılımları|https://acikders.ankara.edu.tr/pluginfile.php/92906/mod_resource/content/0/ders4.pdf"
    "BMB206 Olasılık ve İstatistik|10. Hafta|Güven Aralıkları (Confidence Intervals)|https://acikders.ankara.edu.tr/pluginfile.php/30760/mod_resource/content/0/8_G%C3%BCven%20Aral%C4%B1klar%C4%B1%20ve%20%C4%B0statistiksel%20Anlaml%C4%B1l%C4%B1k.pdf"
    "BMB206 Olasılık ve İstatistik|13. Hafta|Korelasyon Analizi|https://acikders.ankara.edu.tr/pluginfile.php/2154/mod_resource/content/2/konu8a.pdf"
    "BMB214 Programlama Dilleri Prensipleri|1. Hafta|Derleyici Tasarımına Giriş|https://www.geeksforgeeks.org/compiler-design/introduction-of-compiler-design/"
    "BMB214 Programlama Dilleri Prensipleri|3. Hafta|Sözdizimsel Analize Giriş (Syntax Analysis)|https://ytuce.maliayas.com/files/6d6fb23e-Syntax_Analysis_6.pdf"
    "BMB214 Programlama Dilleri Prensipleri|4. Hafta|Tip Kontrolü (Type Checking)|https://www.geeksforgeeks.org/compiler-design/type-checking-in-compiler-design/"
    "BMB214 Programlama Dilleri Prensipleri|7. Hafta|Çalışma Zamanı Ortamı (Run-time Environment)|https://www.techtarget.com/searchsoftwarequality/definition/runtime"
    "BMB212 Veri Yapıları|14. Hafta|Veri Yapıları ve Algoritma Projeleri|https://codegnan.com/data-structure-and-algorithm-project-ideas/"
    "BMB309 Bilgisayar Ağlarına Giriş|2. Hafta|OSI Modeli Katmanları ve Protokolleri|https://aws.amazon.com/tr/what-is/osi-model/"
    "BMB309 Bilgisayar Ağlarına Giriş|3. Hafta|Ağlarda Sinyaller (Signals)|https://www.sciencedirect.com/topics/computer-science/signal-propagation"
    "BMB309 Bilgisayar Ağlarına Giriş|4. Hafta|Yönlendirilmiş İletim Ortamları (Kablolu Medya)|https://beginnersbook.com/2021/12/types-of-transmission-media-guided-and-unguided/"
    "BMB309 Bilgisayar Ağlarına Giriş|6. Hafta|Bilgisayar Ağlarında İletim Modları|https://www.scaler.com/topics/computer-network/transmission-modes-computer-networks/"
    "BMB309 Bilgisayar Ağlarına Giriş|7. Hafta|Anahtarlama Teknikleri (Switching Techniques)|https://medium.com/@yesilyurtsenanur/switch-anahtarlama-y%C3%B6ntemleri-69cd83124ee0"
    "BMB309 Bilgisayar Ağlarına Giriş|8. Hafta|Ağlarda Çoğullama (Multiplexing)|https://www.techtarget.com/searchnetworking/definition/multiplexing"
    "BMB309 Bilgisayar Ağlarına Giriş|9. Hafta|İletim Bozuklukları ve Kayıpları|https://my.clevelandclinic.org/health/diseases/conductive-hearing-loss"
    "BMB309 Bilgisayar Ağlarına Giriş|10. Hafta|İletim Zayıflaması Analizi|https://www.netes.com.tr/blog/iletim-kaybi-ve-geri-donus-kaybi-insertion-loss-vs-return-loss"
    "BMB311 İşletim Sistemleri|2. Hafta|İşletim Sistemi Mimarisi|https://www.nesilteknoloji.com/isletim-sistemi-guvenligi/"
    "BMB311 İşletim Sistemleri|12. Hafta|Dağıtık İşletim Sistemleri|https://tr.wikipedia.org/wiki/Da%C4%9F%C4%B1t%C4%B1k_sistemler"
    "BMB311 İşletim Sistemleri|13. Hafta|İşletim Sistemlerinde Güvenlik|https://berqnet.com/sertifika/siber-guvenlik/isletim-sistemi-guvenligi"
    "BMB319 Mantık Devreleri|2. Hafta|Karnaugh Haritaları (K-Map)|https://tr.wikipedia.org/wiki/Karnaugh_haritas%C4%B1#:~:text=Karnaugh%20haritas%C4%B1%20(KM%20ya%20da,devrelerine%20odaklanm%C4%B1%C5%9F%20versiyonu%20olarak%20tan%C4%B1t%C4%B1ld%C4%B1."
    "BMB319 Mantık Devreleri|3. Hafta|Ardışık Mantık Devreleri (Sequential Logic)|https://www.electronics-tutorials.ws/sequential/seq_1.html"
    "BMB319 Mantık Devreleri|8. Hafta|Yazmaç Aktarımına Giriş (Register Transfer)|https://assemblylearningtutorial.blogspot.com/2016/10/fonksiyona-yazmac-register-yoluyla.html"
    "BMB319 Mantık Devreleri|9. Hafta|Aritmetik Mikroişlemler|https://maker.robotistan.com/mikroislemci/"
    "BMB319 Mantık Devreleri|10. Hafta|Komut Formatları (Instruction Formats)|https://bigdata.gazi.edu.tr/akcayol/files/CAL4InstructionSet.pdf"
    "BMB319 Mantık Devreleri|11. Hafta|Bilgisayar Zamanlama ve Kontrol Organizasyonu|https://medium.com/@raufpokemon00/mastering-computer-organization-architecture-and-assembly-language-the-ultimate-beginners-guide-d50e944bc91a"
    "BMB319 Mantık Devreleri|12. Hafta|Komut Döngüsü (Instruction Cycle)|https://www.geeksforgeeks.org/computer-organization-architecture/different-instruction-cycles/"
    "BMB319 Mantık Devreleri|14. Hafta|Temel Bilgisayar Komutları|https://yunus.hacettepe.edu.tr/~eacar/dersler/uygulamalar/yazilim.pdf"
    "BMB317 Otomata Teorisi|2. Hafta|Biçimsel Diller ve Otomata Teorisine Giriş|https://ecehanyildirim.medium.com/bi%C3%A7imsel-diller-ve-otomata-teorisi-1-807396f27936"
    "BMB317 Otomata Teorisi|14. Hafta|Hesaplama Karmaşıklığı (Computational Complexity)|https://en.wikipedia.org/wiki/Computational_complexity_theory"
    "BMB315 Web Programlama|10. Hafta|PHP ve MySQL (PDO Kullanımı)|https://www.php.net/manual/tr/ref.pdo-mysql.php"
    "BMB308 Bilgisayar Ağları|3. Hafta|Ağ Protokolleri|https://medium.com/@Mehmet_Arif/a%C4%9F-protokolleri-network-bile%C5%9Fenleri-ve-topolojileri-3f090b7b014d"
    "BMB308 Bilgisayar Ağları|4. Hafta|OSI Modeli Katmanları|https://bidb.itu.edu.tr/seyir-defteri/blog/2013/09/07/osi-katmanlar%C4%B1"
    "BMB308 Bilgisayar Ağları|9. Hafta|Ethernet Standardı|https://tr.wikipedia.org/wiki/IEEE_802.3"
    "BMB308 Bilgisayar Ağları|10. Hafta|FDDI (Fiber Dağıtılmış Veri Arayüzü)|https://en.wikipedia.org/wiki/Fiber_Distributed_Data_Interface"
    "BMB314 Bilgisayar Organizasyonu|1. Hafta|Komut Kodları (Instruction Codes)|https://bigdata.gazi.edu.tr/akcayol/files/CAL4InstructionSet.pdf"
    "BMB314 Bilgisayar Organizasyonu|3. Hafta|Mikroprogramlı Kontrol|https://tr.wikipedia.org/wiki/Mikroprogramlama"
    "BMB314 Bilgisayar Organizasyonu|4. Hafta|Komut Formatları|https://www.donanimhaber.com/windows-cmd-komutlari-ve-kodlari--160039"
    "BMB314 Bilgisayar Organizasyonu|5. Hafta|Komut Formatları Detay|https://www.donanimhaber.com/windows-cmd-komutlari-ve-kodlari--160039"
    "BMB314 Bilgisayar Organizasyonu|6. Hafta|Boru Hattı Mimarisi (Pipelining)|https://www.cise.ufl.edu/~mssz/CompOrg/CDA-pipe.html"
    "BMB314 Bilgisayar Organizasyonu|7. Hafta|Vektör İşleme (Vector Processing)|https://en.wikipedia.org/wiki/Vector_processor"
    "BMB314 Bilgisayar Organizasyonu|8. Hafta|Bilgisayar Aritmetiği|https://en.wikipedia.org/wiki/Computer_arithmetic"
    "BMB314 Bilgisayar Organizasyonu|9. Hafta|Kayan Nokta Aritmetiği (Floating Point)|https://en.wikipedia.org/wiki/Floating-point_arithmetic"
    "BMB314 Bilgisayar Organizasyonu|10. Hafta|Giriş-Çıkış Organizasyonu (I/O)|https://medium.com/@ulassezgn/giri%C5%9F-%C3%A7%C4%B1k%C4%B1%C5%9F-organizasyonu-1f40f12dd99d"
    "BMB314 Bilgisayar Organizasyonu|11. Hafta|Doğrudan Bellek Erişimi (DMA)|https://tr.wikipedia.org/wiki/Do%C4%9Frudan_bellek_eri%C5%9Fimi"

    "BMB314 Bilgisayar Organizasyonu|12. Hafta|Bellek Hiyerarşisi|https://medium.com/@denizbyat/bellek-hiyerar%C5%9Fisi-i%CC%87%C5%9Flemci-ram-i%CC%87li%C5%9Fkisi-arka-planda-nas%C4%B1l-olur-33600025398e"
    "BMB314 Bilgisayar Organizasyonu|13. Hafta|Önbellek (Cache Memory)|https://coderspace.io/blog/onbellek-cache-nedir/"
    "BMB314 Bilgisayar Organizasyonu|14. Hafta|Çoklu İşlemci Mimarileri (Multiprocessors)|https://en-wikipedia-org.translate.goog/wiki/Symmetric_multiprocessing?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMB310 Sistem Analizi ve Tasarım|2. Hafta|Sistem Analizi ve Tasarımına Genel Bakış|https://www-tutorialspoint-com.translate.goog/system_analysis_and_design/system_analysis_and_design_overview.htm?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMB310 Sistem Analizi ve Tasarım|4. Hafta|Yazılım Geliştirme Yaşam Döngüsü (SDLC)|https://aws.amazon.com/tr/what-is/sdlc/"
    "BMB310 Sistem Analizi ve Tasarım|5. Hafta|Sistem Proje Planlaması|https://batuhanakpunar.medium.com/yaz%C4%B1l%C4%B1m-proje-plan%C4%B1-nedir-nas%C4%B1l-olu%C5%9Fturulur-82485fbf3695"
    "BMB310 Sistem Analizi ve Tasarım|6. Hafta|Gereksinim Mühendisliği|https://www-geeksforgeeks-org.translate.goog/software-engineering/software-engineering-requirements-engineering-process/?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc&_x_tr_hist=true"
    "BMB310 Sistem Analizi ve Tasarım|7. Hafta|Yazılım Gereksinim Şartnamesi (SRS)|https://www-perforce-com.translate.goog/blog/alm/how-write-software-requirements-specification-srs-document?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMB310 Sistem Analizi ve Tasarım|9. Hafta|Girdi/Çıktı Tasarımı|https://www.ktun.edu.tr/Dosyalar/1022/files/Lojik%20Devreler_Ders%20Notlar%C4%B1.pdf"
    "BMB310 Sistem Analizi ve Tasarım|12. Hafta|Sistem Tasarım Aşamaları|https://web.hitit.edu.tr/dosyalar/duyurular/mustafacosar@hititedutr030420145I2T4D5F.pdf"
    "BMB310 Sistem Analizi ve Tasarım|14. Hafta|Sistem Analizi Değerlendirme|https://kontrolotomasyon.wordpress.com/2016/12/05/sistem-analizi-ve-tasarimi-i-proje-degerlendirme-olcutleri-tablosu/"
    "BMB312 Sistem Programlama|3. Hafta|Linux Dosya İzinleri|https://www.yusufsezer.com.tr/linux-dosya-ve-dizin-izinleri/"
    "BMB312 Sistem Programlama|9. Hafta|Çoklu İş Parçacığı (Multithreading C/C++)|https://docs.unity3d.com/2020.1/Documentation/Manual/JobSystemMultithreading.html"
    "BMB312 Sistem Programlama|11. Hafta|Unix Shell Scripting (Kabuk Programlama)|https://www-freecodecamp-org.translate.goog/news/shell-scripting-crash-course-how-to-write-bash-scripts-in-linux/?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMB306 Yazılım Mühendisliği|2. Hafta|SDLC (Yazılım Geliştirme Yaşam Döngüsü)|https://aws.amazon.com/tr/what-is/sdlc/"
    "BMB306 Yazılım Mühendisliği|4. Hafta|Gereksinim Mühendisliği|https://muhammetbaykara.com/wp-content/uploads/2022/04/Gereksinim-M%C3%BChendisli%C4%9Fine-Giri%C5%9F.pdf"
    "BMB306 Yazılım Mühendisliği|6. Hafta|Kodlama Standartları|https://blog-codacy-com.translate.goog/coding-standards?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMB306 Yazılım Mühendisliği|10. Hafta|Yazılım Yapılandırma Yönetimi (SCM)|https://aws.amazon.com/tr/what-is/configuration-management/"
    "BMB306 Yazılım Mühendisliği|11. Hafta|CASE Araçları (Bilgisayar Destekli Yazılım Mühendisliği)|https://medium.com/@yusufozcan/bilgisayar-destekli-yaz%C4%B1l%C4%B1m-m%C3%BChendisli%C4%9Fi-case-273b2834cc00"
    "YDS002 İş Hayatında Yabancı Dil|1. Hafta|Idioms (İş Hayatı Deyimleri)|https://englishlikeanative-co-uk.translate.goog/blog/common-english-idioms-for-hard-work-and-business/?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "YDS002 İş Hayatında Yabancı Dil|2. Hafta|Idioms (İş Hayatı Deyimleri Pratik)|https://www.openenglish.com.tr/blog/is-hayatinda-sik-kullanilan-10-ingilizce-deyim/"
    "YDS002 İş Hayatında Yabancı Dil|3. Hafta|Recruitment (İşe Alım Süreci İngilizcesi)|https://www.iienstitu.com/tr/blog/ik-ise-alim-uzmanlarinin-bilmesi-gereken-ingilizce-terimler"
    "YDS002 İş Hayatında Yabancı Dil|5. Hafta|İş Başvurusu Yapmak (E-posta ile)|https://www.superprof.com.tr/blog/ingilizce-is-basvurusu-maili/"
    "YDS002 İş Hayatında Yabancı Dil|6. Hafta|Phrasal Verbs (İş Hayatında Deyimsel Fiiller)|https://learnenglish.britishcouncil.org/vocabulary/advanced-vocabulary/phrasal-verbs"
    "YDS002 İş Hayatında Yabancı Dil|7. Hafta|Toplantılar için İngilizce Kalıplar|https://www.openenglish.com.tr/blog/ingilizce-toplanti-kaliplari-toplanti-ingilizcesi/"
    "YDS002 İş Hayatında Yabancı Dil|8. Hafta|Telefonda İş Görüşmesi ve İletişim|https://online.lemonacademy.com.tr/blog/telefonda-resmi-konusma-icin-ingilizce-ifadeler"
    "YDS002 İş Hayatında Yabancı Dil|14. Hafta|Sıfatlar ve Zarflar|https://dersimizingilizce.com/ingilizce-adjectives-and-adverbs-sifatlar-ve-zarflar.html"
    "BMSB417 Çevik Yazılım Geliştirme|3. Hafta|Scrum Çerçevesi Nedir?|https://www-scrumalliance-org.translate.goog/about-scrum?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMSB406 Makine Öğrenmesine Giriş|3. Hafta|Weka (Makine Öğrenmesi Yazılımı)|https://www-geeksforgeeks-org.translate.goog/machine-learning/introduction-to-weka-key-features-and-applications/?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc&_x_tr_hist=true"
    "BMSB406 Makine Öğrenmesine Giriş|6. Hafta|Gözetimsiz Öğrenme (Unsupervised ML)|https://aws-amazon-com.translate.goog/compare/the-difference-between-machine-learning-supervised-and-unsupervised/?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMSB423 Sayısal Hesaplama Programları|3. Hafta|Matematiksel Modelleme|https://dergipark.org.tr/en/download/article-file/402881"
    "BMSB423 Sayısal Hesaplama Programları|4. Hafta|MATLAB Programlarında Hata Ayıklama (Debugging)|https://www.mathworks.com/help/matlab/matlab_prog/debugging-process-and-features.html"
    "BMSB423 Sayısal Hesaplama Programları|7. Hafta|MATLAB Türev ve Fark Operasyonları (Diff)|https://www.mathworks.com/help/symbolic/sym.diff.html"
    "BMSB423 Sayısal Hesaplama Programları|12. Hafta|MATLAB ile Özdeğerler ve Özvektörler|https://web.itu.edu.tr/~orssi/dersler/DSA/odev1_ek.pdf"
    "BMSB403 Veri Madenciliği|2. Hafta|Veri Madenciliği Uygulama Alanları|https://dergipark.org.tr/tr/download/article-file/787239"
    "BMSB403 Veri Madenciliği|3. Hafta|Veri Ön İşleme (Data Preprocessing)|https://medium.com/@ilkbaharnaz/data-preprocessing-veri-%C3%B6n-i%CC%87%C5%9Fleme-85236484f913"
    "BMSB403 Veri Madenciliği|4. Hafta|Boyut İndirgeme (Dimensionality Reduction)|https://medium.com/data-science-tr/makine-%C3%B6%C4%9Frenmesi-dersleri-boyut-azaltma-pca-5ae9e902ef92"
    "BMSB403 Veri Madenciliği|5. Hafta|Veri Ambarı ve OLAP (Online Analytical Processing)|https://mkotan.sakarya.edu.tr/sites/mkotan.sakarya.edu.tr/file/EKO469_VM_H05_VeriAmbarlariveOLAP.pdf"
    "BMSB403 Veri Madenciliği|6. Hafta|Sınıflandırma ve Kümeleme Arasındaki Farklar|https://www.ahmetcevahircinar.com.tr/2017/05/21/siniflandirma-ve-kumeleme-nedir-ve-farki-nedir/"
    "BMSB403 Veri Madenciliği|8. Hafta|Makine Öğrenmesi İçin İstatistiksel Yöntemler|https://medium.com/@sevgicann.kilic/makine-%C3%B6%C4%9Frenmesi-teknikleri-477b025348a7"
    "BMSB403 Veri Madenciliği|13. Hafta|Model Değerlendirme Metrikleri (Python)|https://scikit--learn-org.translate.goog/stable/modules/model_evaluation.html?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMSB421 Veri Sıkıştırma Yöntemleri|1. Hafta|Veri Sıkıştırmaya Giriş|https://www-sciencedirect-com.translate.goog/book/monograph/9780126208627/introduction-to-data-compression?_x_tr_sl=en&_x_tr_tl=tr&_x_tr_hl=tr&_x_tr_pto=tc"
    "BMSB421 Veri Sıkıştırma Yöntemleri|3. Hafta|Aritmetik Kodlama|https://www.sciencedirect.com/topics/computer-science/arithmetic-coder"
    "BMSB421 Veri Sıkıştırma Yöntemleri|7. Hafta|Sözlük Kodlayıcı (Dictionary Coder)|https://go-compression.github.io/algorithms/dictionary/"
    "BMSB421 Veri Sıkıştırma Yöntemleri|8. Hafta|Lempel-Ziv Algoritmaları (LZ77-LZ78)|https://bilgisayarkavramlari.com/2010/01/04/lzw-sikistirma-algoritmasi/"
    "BMSB428 Gömülü Sistemler|2. Hafta|Gömülü C Programlamaya Giriş|https://gomulu-sistemler.readthedocs.io/tr/latest/giris.html"
    "BMSB428 Gömülü Sistemler|3. Hafta|Gömülü Sistem Bellek Mimarisi|https://batuhandaz.medium.com/mimari-tipler-g%C3%B6m%C3%BCl%C3%BC-sistemler-3-cfad5a3f3ac4"
